model,case,seeds,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max
pair_head_full_face_dense_only_all_cases,masked-masked,3,0.8621748143220253,0.045146882596593725,0.8100503824070081,0.8889607058582127
pair_head_full_face_dense_only_masked_only,masked-masked,3,0.8621748143220253,0.045146882596593725,0.8100503824070081,0.8889607058582127
pair_head_full_all_features_all_cases,masked-masked,3,0.8608346619359769,0.045563202033154594,0.808422032090416,0.8910023597004206
pair_head_full_all_features_masked_only,masked-masked,3,0.8608346619359769,0.045563202033154594,0.808422032090416,0.8910023597004206
pair_head_dense_interactions_only_all_cases,masked-masked,3,0.8529434816870974,0.03944849023860028,0.8100049928511449,0.8875807940904893
pair_head_dense_interactions_only_masked_only,masked-masked,3,0.8529434816870974,0.03944849023860028,0.8100049928511449,0.8875807940904893
gated_lower_blur,masked-masked,3,0.8408337657636548,0.04425848755725506,0.7920817919796654,0.8784855769230768
gated_lower_blackout,masked-masked,3,0.8369948143717143,0.02849621814027329,0.806163901686222,0.8623664529914531
gated_upper_only,masked-masked,3,0.8368400652224274,0.03466648951331603,0.7978916551301546,0.8643162393162392
baseline_full,masked-masked,3,0.8351838996852567,0.04338984574828583,0.7851598847105281,0.8626201923076923
pair_head_cosine_scores_only_all_cases,masked-masked,3,0.820196822097135,0.051181704492427454,0.7613644100492476,0.8544738247863247
pair_head_cosine_scores_only_masked_only,masked-masked,3,0.820196822097135,0.051181704492427454,0.7613644100492476,0.8544738247863247
pair_head_cosine_scores_stats_all_cases,masked-masked,3,0.8170029510300836,0.046596075685354725,0.7637019721762022,0.8500133547008546
pair_head_cosine_scores_stats_masked_only,masked-masked,3,0.8170029510300836,0.046596075685354725,0.7637019721762022,0.8500133547008546
pair_head_full_all_features_all_cases,masked-unmasked,3,0.822783197469092,0.015826459382528094,0.8076908713692946,0.839253658040916
pair_head_full_all_features_masked_only,masked-unmasked,3,0.822783197469092,0.015826459382528094,0.8076908713692946,0.839253658040916
pair_head_full_face_dense_only_all_cases,masked-unmasked,3,0.8185072549049105,0.0204832644992657,0.7960767634854772,0.8362201090638125
pair_head_full_face_dense_only_masked_only,masked-unmasked,3,0.8185072549049105,0.0204832644992657,0.7960767634854772,0.8362201090638125
pair_head_dense_interactions_only_all_cases,masked-unmasked,3,0.8061883764941117,0.016106000890412923,0.7876307053941909,0.8165221514699905
pair_head_dense_interactions_only_masked_only,masked-unmasked,3,0.8061883764941117,0.016106000890412923,0.7876307053941909,0.8165221514699905
pair_head_cosine_scores_only_all_cases,masked-unmasked,3,0.7985684680601296,0.0020597138759115307,0.7965005072289809,0.8006198347107438
pair_head_cosine_scores_only_masked_only,masked-unmasked,3,0.7985684680601296,0.0020597138759115307,0.7965005072289809,0.8006198347107438
baseline_full,masked-unmasked,3,0.7972101059491425,0.0026970465022469092,0.7944730290456431,0.799865255202001
pair_head_cosine_scores_stats_all_cases,masked-unmasked,3,0.796922633057644,0.0044630811793835755,0.7936391162599801,0.8020043015851511
pair_head_cosine_scores_stats_masked_only,masked-unmasked,3,0.796922633057644,0.0044630811793835755,0.7936391162599801,0.8020043015851511
gated_lower_blur,masked-unmasked,3,0.792198134026159,0.008240398414649552,0.7828884974935646,0.7985565269915513
gated_upper_only,masked-unmasked,3,0.7873601054859402,0.001963133163408087,0.785098563880233,0.7886249061045588
gated_lower_blackout,masked-unmasked,3,0.7783624619583378,0.007114525282750995,0.774145610350901,0.7865766302958964
baseline_full,unmasked-unmasked,3,0.9694191313562994,0.004677981556791876,0.9651173450159632,0.9743992447648473
gated_lower_blackout,unmasked-unmasked,3,0.9694191313562994,0.004677981556791876,0.9651173450159632,0.9743992447648473
gated_lower_blur,unmasked-unmasked,3,0.9694191313562994,0.004677981556791876,0.9651173450159632,0.9743992447648473
gated_upper_only,unmasked-unmasked,3,0.9694191313562994,0.004677981556791876,0.9651173450159632,0.9743992447648473
pair_head_cosine_scores_only_masked_only,unmasked-unmasked,3,0.9694191313562994,0.004677981556791876,0.9651173450159632,0.9743992447648473
pair_head_cosine_scores_stats_masked_only,unmasked-unmasked,3,0.9694191313562994,0.004677981556791876,0.9651173450159632,0.9743992447648473
pair_head_dense_interactions_only_masked_only,unmasked-unmasked,3,0.9694191313562994,0.004677981556791876,0.9651173450159632,0.9743992447648473
pair_head_full_all_features_masked_only,unmasked-unmasked,3,0.9694191313562994,0.004677981556791876,0.9651173450159632,0.9743992447648473
pair_head_full_face_dense_only_masked_only,unmasked-unmasked,3,0.9694191313562994,0.004677981556791876,0.9651173450159632,0.9743992447648473
pair_head_cosine_scores_only_all_cases,unmasked-unmasked,3,0.9691505829333177,0.004870668393018845,0.9648649658043144,0.9744475197391006
pair_head_cosine_scores_stats_all_cases,unmasked-unmasked,3,0.9675017846469643,0.005094490045703069,0.9624600069489164,0.9726473995880535
pair_head_full_face_dense_only_all_cases,unmasked-unmasked,3,0.9625369551661492,0.0025329221047616494,0.9606695858151566,0.9654200995537248
pair_head_dense_interactions_only_all_cases,unmasked-unmasked,3,0.9592118942149434,0.0011959511541830316,0.95800319378536,0.9603946747339511
pair_head_full_all_features_all_cases,unmasked-unmasked,3,0.9586429526244661,0.0049255484992298685,0.9556551647645217,0.9643280123583933
