seed,model,case,threshold_policy,threshold,eval_pairs,accuracy,far,frr,tar
7,baseline_full,masked-unmasked,cal_far_0.05,0.4942043423652649,982,0.639511201629328,0.0477178423236514,0.662,0.338
42,baseline_full,masked-unmasked,cal_far_0.05,0.4758215546607971,1017,0.6656833824975418,0.0448065173116089,0.6045627376425855,0.3954372623574144
99,baseline_full,masked-unmasked,cal_far_0.05,0.4829238653182983,972,0.6862139917695473,0.0516528925619834,0.5737704918032787,0.4262295081967213
7,pair_head_cosine_scores_only_masked_only,masked-unmasked,cal_far_0.05,0.7575157284736633,982,0.6466395112016293,0.0456431535269709,0.65,0.35
42,pair_head_cosine_scores_only_masked_only,masked-unmasked,cal_far_0.05,0.7595004439353943,1017,0.6588003933136677,0.0386965376782077,0.623574144486692,0.376425855513308
99,pair_head_cosine_scores_only_masked_only,masked-unmasked,cal_far_0.05,0.752164363861084,972,0.7037037037037037,0.0640495867768595,0.5266393442622951,0.4733606557377049
7,pair_head_full_all_features_masked_only,masked-unmasked,cal_far_0.05,0.998698592185974,982,0.6558044806517311,0.0560165975103734,0.622,0.378
42,pair_head_full_all_features_masked_only,masked-unmasked,cal_far_0.05,0.9993305206298828,1017,0.6381514257620452,0.0366598778004073,0.6653992395437263,0.3346007604562737
99,pair_head_full_all_features_masked_only,masked-unmasked,cal_far_0.05,0.9977700710296632,972,0.6790123456790124,0.0578512396694214,0.5819672131147541,0.4180327868852459
