epoch,loss,contrastive_loss,preserve_loss
1,1.1979738295078277,1.1978362917900085,0.0027511891443282367
2,0.5135393410921096,0.5133989214897156,0.002808407135307789
3,0.45242923200130464,0.45228696465492246,0.0028452904894948005
4,0.3889596164226532,0.3888205289840698,0.002781880786642432
5,0.35680481791496277,0.35666437447071075,0.0028089025989174845
6,0.3321064054965973,0.33196736574172975,0.002780921338126063
7,0.31613071262836456,0.31599065065383913,0.002801155252382159
8,0.30664596110582354,0.306506784260273,0.0027835013810545207
9,0.2848739430308342,0.2847341179847717,0.0027964193839579822
10,0.2867974415421486,0.2866578534245491,0.0027916509192436934
11,0.26682487726211546,0.26668459475040435,0.0028056285344064237
12,0.2566697090864182,0.2565301686525345,0.002790839411318302
13,0.2575992211699486,0.25745850801467896,0.0028141754679381847
14,0.23909529745578767,0.23895573914051055,0.0027911321260035036
15,0.23395709544420243,0.23381661474704743,0.0028096445836126803
16,0.24127720147371293,0.24113764464855195,0.0027910700533539056
17,0.2358979195356369,0.2357573240995407,0.002811821596696973
18,0.23905583024024962,0.23891615122556686,0.0027936439495533706
19,0.22784350514411927,0.22770320475101472,0.002806032728403807
20,0.22180289626121522,0.2216627985239029,0.0028018392622470856
21,0.22425568103790283,0.22411540597677232,0.0028055574279278518
22,0.2149870738387108,0.21484698802232743,0.002801662404090166
23,0.21045172065496445,0.21031027734279634,0.0028288483154028654
24,0.20874609500169755,0.20860589146614075,0.002804055064916611
25,0.21298733502626419,0.21284615397453308,0.002823631837964058
26,0.2008880689740181,0.20074809119105338,0.0027995302341878416
27,0.21755388975143433,0.21741368472576142,0.0028041261713951824
28,0.19668571799993514,0.19654502719640732,0.0028138055466115476
29,0.206863172352314,0.20672290474176408,0.0028054086957126855
30,0.19459777921438218,0.19445628374814988,0.002829896518960595
31,0.19752194881439208,0.19738079607486725,0.002823031134903431
32,0.2000670351088047,0.19992539435625076,0.002832812303677201
33,0.19775318801403047,0.19761171489953994,0.0028294634073972704
34,0.1946062758564949,0.19446442276239395,0.0028370807878673075
35,0.19289197102189065,0.1927505224943161,0.002828973112627864
36,0.18674927502870559,0.18660711646080017,0.0028431438840925694
37,0.18477183282375337,0.18463004678487777,0.002835774328559637
38,0.18876512497663497,0.18862265348434448,0.0028494087513536216
39,0.18405481204390525,0.1839125171303749,0.0028459196444600822
40,0.17698367089033126,0.17684117704629898,0.0028498432133346797
