model,case,pairs,split,alpha,roc_auc,accuracy,threshold,far,frr
baseline_facenet_vggface2,masked-masked,45,eval,,0.7976190476190477,0.7555555555555555,0.5025270581245422,0.09523809523809523,0.375
fusion_full_lower_blackout_vggface2,masked-masked,43,eval,0.9500000000000001,0.7900432900432901,0.7441860465116279,0.5027550369501114,0.09523809523809523,0.4090909090909091
fusion_full_lower_blur_vggface2,masked-masked,43,eval,0.8,0.7922077922077922,0.7441860465116279,0.25287089347839353,0.38095238095238093,0.13636363636363635
fusion_full_upper_vggface2,masked-masked,43,eval,1.0,0.7878787878787878,0.7441860465116279,0.5025270581245422,0.09523809523809523,0.4090909090909091
lower_blackout_facenet_vggface2,masked-masked,45,eval,,0.7916666666666667,0.7555555555555555,0.256025105714798,0.38095238095238093,0.125
lower_blur_facenet_vggface2,masked-masked,45,eval,,0.7896825396825397,0.7777777777777778,0.2552694082260132,0.38095238095238093,0.08333333333333333
masked_specific_candidate_facenet_casia_webface,masked-masked,45,eval,,0.6924603174603174,0.7555555555555555,0.4773249626159668,0.19047619047619047,0.2916666666666667
upper_face_facenet_vggface2,masked-masked,45,eval,,0.7380952380952381,0.7333333333333333,0.22381530702114105,0.47619047619047616,0.08333333333333333
baseline_facenet_vggface2,masked-unmasked,85,eval,,0.9274640088593576,0.8823529411764706,0.30334141850471497,0.16666666666666666,0.06976744186046512
fusion_full_lower_blackout_vggface2,masked-unmasked,85,eval,0.9500000000000001,0.9302325581395349,0.8941176470588236,0.30765464156866074,0.14285714285714285,0.06976744186046512
fusion_full_lower_blur_vggface2,masked-unmasked,85,eval,0.8,0.9335548172757475,0.9058823529411765,0.31231827735900874,0.11904761904761904,0.06976744186046512
fusion_full_upper_vggface2,masked-unmasked,85,eval,1.0,0.9274640088593576,0.8823529411764706,0.30334141850471497,0.16666666666666666,0.06976744186046512
lower_blackout_facenet_vggface2,masked-unmasked,85,eval,,0.9407530454042081,0.8823529411764706,0.3578495383262634,0.16666666666666666,0.06976744186046512
lower_blur_facenet_vggface2,masked-unmasked,85,eval,,0.929125138427464,0.8588235294117647,0.3106870651245117,0.19047619047619047,0.09302325581395349
masked_specific_candidate_facenet_casia_webface,masked-unmasked,85,eval,,0.8322259136212624,0.788235294117647,0.26784440875053406,0.2619047619047619,0.16279069767441862
upper_face_facenet_vggface2,masked-unmasked,85,eval,,0.8776301218161683,0.8352941176470589,0.3883659839630127,0.047619047619047616,0.27906976744186046
baseline_facenet_vggface2,unmasked-unmasked,155,eval,,0.9543637574950034,0.896774193548387,0.48704418540000916,0.06329113924050633,0.14473684210526316
fusion_full_lower_blackout_vggface2,unmasked-unmasked,155,eval,0.9500000000000001,0.9546968687541639,0.9032258064516129,0.5081758216023445,0.0379746835443038,0.15789473684210525
fusion_full_lower_blur_vggface2,unmasked-unmasked,155,eval,0.8,0.9508660892738174,0.9032258064516129,0.47704446911811826,0.0759493670886076,0.11842105263157894
fusion_full_upper_vggface2,unmasked-unmasked,155,eval,1.0,0.9543637574950034,0.896774193548387,0.48704418540000916,0.06329113924050633,0.14473684210526316
lower_blackout_facenet_vggface2,unmasked-unmasked,155,eval,,0.9117255163224517,0.8516129032258064,0.4013461172580719,0.20253164556962025,0.09210526315789473
lower_blur_facenet_vggface2,unmasked-unmasked,155,eval,,0.8865756162558294,0.8387096774193549,0.41843774914741516,0.22784810126582278,0.09210526315789473
masked_specific_candidate_facenet_casia_webface,unmasked-unmasked,155,eval,,0.9165556295802798,0.8838709677419355,0.4832777976989746,0.0759493670886076,0.15789473684210525
upper_face_facenet_vggface2,unmasked-unmasked,155,eval,,0.8252831445702864,0.7741935483870968,0.40451860427856445,0.189873417721519,0.2631578947368421
