model,coverage,pairs,roc_auc,accuracy_at_calibration_threshold,threshold,mean_view_std
ensemble_disagreement_penalty_0.10,0.6,124,0.7539390756302521,0.7016129032258065,0.41242967611611947,0.05013433332496663
ensemble_disagreement_penalty_0.10,0.8,165,0.7706968433591423,0.7151515151515152,0.41242967611611947,0.05850484025561198
ensemble_disagreement_penalty_0.10,1.0,206,0.7595394423827195,0.7184466019417476,0.41242967611611947,0.06995691020620318
ensemble_disagreement_penalty_0.25,0.6,124,0.7542016806722689,0.7016129032258065,0.40349982991966266,0.05013433332496663
ensemble_disagreement_penalty_0.25,0.8,165,0.7715902322811198,0.7151515151515152,0.40349982991966266,0.05850484025561198
ensemble_disagreement_penalty_0.25,1.0,206,0.7592539727852318,0.7184466019417476,0.40349982991966266,0.06995691020620318
ensemble_disagreement_penalty_0.50,0.6,124,0.7552521008403361,0.7016129032258065,0.376479666398167,0.05013433332496663
ensemble_disagreement_penalty_0.50,0.8,165,0.7729303156640858,0.7151515151515152,0.376479666398167,0.05850484025561198
ensemble_disagreement_penalty_0.50,1.0,206,0.7595394423827195,0.7184466019417476,0.376479666398167,0.06995691020620318
ensemble_mean_safe,0.6,124,0.7542016806722689,0.7016129032258065,0.41838290691375735,0.05013433332496663
ensemble_mean_safe,0.8,165,0.7706968433591423,0.7151515151515152,0.41838290691375735,0.05850484025561198
ensemble_mean_safe,1.0,206,0.7593491293177277,0.7184466019417476,0.41838290691375735,0.06995691020620318
ensemble_top1_safe,0.6,124,0.7565651260504203,0.6935483870967742,0.43363988399505615,0.05013433332496663
ensemble_top1_safe,0.8,165,0.7708457415128052,0.7090909090909091,0.43363988399505615,0.05850484025561198
ensemble_top1_safe,1.0,206,0.7622989818251023,0.6747572815533981,0.43363988399505615,0.06995691020620318
ensemble_top2_safe,0.6,124,0.7542016806722689,0.6935483870967742,0.42238181829452515,0.05013433332496663
ensemble_top2_safe,0.8,165,0.7702501488981537,0.7212121212121212,0.42238181829452515,0.05850484025561198
ensemble_top2_safe,1.0,206,0.7628699210200781,0.7087378640776699,0.42238181829452515,0.06995691020620318
ensemble_top3_safe,0.6,124,0.7576155462184874,0.6935483870967742,0.3997940272092819,0.05013433332496663
ensemble_top3_safe,0.8,165,0.7709946396664682,0.7151515151515152,0.3997940272092819,0.05850484025561198
ensemble_top3_safe,1.0,206,0.7603958511751833,0.6990291262135923,0.3997940272092819,0.06995691020620318
gated_eye_band,0.6,124,0.7442226890756303,0.7016129032258065,0.4672425091266632,0.05013433332496663
gated_eye_band,0.8,165,0.7504466944609887,0.7151515151515152,0.4672425091266632,0.05850484025561198
gated_eye_band,1.0,206,0.7150061851746122,0.6990291262135923,0.4672425091266632,0.06995691020620318
gated_lower_blackout,0.6,124,0.7394957983193278,0.7016129032258065,0.4136043190956116,0.05013433332496663
gated_lower_blackout,0.8,165,0.7681655747468732,0.7272727272727273,0.4136043190956116,0.05850484025561198
gated_lower_blackout,1.0,206,0.7445998667808544,0.7087378640776699,0.4136043190956116,0.06995691020620318
gated_lower_blur,0.6,124,0.7444852941176471,0.6854838709677419,0.37566670775413513,0.05013433332496663
gated_lower_blur,0.8,165,0.7575938058368076,0.696969696969697,0.37566670775413513,0.05850484025561198
gated_lower_blur,1.0,206,0.7644875820725092,0.7038834951456311,0.37566670775413513,0.06995691020620318
gated_upper_only,0.6,124,0.7586659663865547,0.6935483870967742,0.409597247838974,0.05013433332496663
gated_upper_only,0.8,165,0.7806730196545564,0.7212121212121212,0.409597247838974,0.05850484025561198
gated_upper_only,1.0,206,0.760871633837663,0.7135922330097088,0.409597247838974,0.06995691020620318
same_eye_band,0.6,124,0.7442226890756303,0.7016129032258065,0.4672425091266632,0.05013433332496663
same_eye_band,0.8,165,0.7504466944609887,0.7151515151515152,0.4672425091266632,0.05850484025561198
same_eye_band,1.0,206,0.7150061851746122,0.6990291262135923,0.4672425091266632,0.06995691020620318
same_full,0.6,124,0.7465861344537815,0.6774193548387096,0.3189600110054016,0.05013433332496663
same_full,0.8,165,0.7480643240023823,0.6909090909090909,0.3189600110054016,0.05850484025561198
same_full,1.0,206,0.7645827386050053,0.7184466019417476,0.3189600110054016,0.06995691020620318
same_lower_blackout,0.6,124,0.7394957983193278,0.7016129032258065,0.4136043190956116,0.05013433332496663
same_lower_blackout,0.8,165,0.7681655747468732,0.7272727272727273,0.4136043190956116,0.05850484025561198
same_lower_blackout,1.0,206,0.7445998667808544,0.7087378640776699,0.4136043190956116,0.06995691020620318
same_lower_blur,0.6,124,0.7444852941176471,0.6854838709677419,0.37566670775413513,0.05013433332496663
same_lower_blur,0.8,165,0.7575938058368076,0.696969696969697,0.37566670775413513,0.05850484025561198
same_lower_blur,1.0,206,0.7644875820725092,0.7038834951456311,0.37566670775413513,0.06995691020620318
same_upper_only,0.6,124,0.7586659663865547,0.6935483870967742,0.409597247838974,0.05013433332496663
same_upper_only,0.8,165,0.7806730196545564,0.7212121212121212,0.409597247838974,0.05850484025561198
same_upper_only,1.0,206,0.760871633837663,0.7135922330097088,0.409597247838974,0.06995691020620318
