model,case,pairs,roc_auc,accuracy,threshold,far,frr
baseline_full,masked-masked,260,0.8432983508245877,0.7769230769230769,0.3004481792449951,0.3652173913043478,0.1103448275862069
gated_lower_blackout,masked-masked,260,0.8105547226386807,0.7576923076923077,0.28160741925239563,0.4434782608695652,0.08275862068965517
gated_lower_blur,masked-masked,260,0.8274662668665667,0.7653846153846153,0.27199995517730713,0.40869565217391307,0.09655172413793103
gated_upper_only,masked-masked,260,0.8172113943028485,0.7538461538461538,0.3805791437625885,0.3130434782608696,0.19310344827586207
pair_head_all_cases,masked-masked,260,0.8403598200899551,0.7807692307692308,0.5385674834251404,0.20869565217391303,0.22758620689655173
pair_head_masked_cases_only,masked-masked,260,0.8403598200899551,0.7807692307692308,0.5385674834251404,0.20869565217391303,0.22758620689655173
baseline_full,masked-unmasked,437,0.7964811475066058,0.7299771167048055,0.3118366301059723,0.24778761061946902,0.2938388625592417
gated_lower_blackout,masked-unmasked,437,0.7671433963846832,0.7276887871853547,0.4308326244354248,0.18584070796460178,0.36492890995260663
gated_lower_blur,masked-unmasked,437,0.7733087279285324,0.7276887871853547,0.2869246006011963,0.3008849557522124,0.24170616113744076
gated_upper_only,masked-unmasked,437,0.7726586419494191,0.7322654462242563,0.39825037121772766,0.2168141592920354,0.3222748815165877
pair_head_all_cases,masked-unmasked,437,0.8238057291448223,0.7665903890160183,0.005414010025560856,0.22123893805309736,0.24644549763033174
pair_head_masked_cases_only,masked-unmasked,437,0.8238057291448223,0.7665903890160183,0.005414010025560856,0.22123893805309736,0.24644549763033174
baseline_full,unmasked-unmasked,769,0.96714558220707,0.9102730819245773,0.5000671744346619,0.09162303664921466,0.08785529715762273
gated_lower_blackout,unmasked-unmasked,769,0.96714558220707,0.9102730819245773,0.5000671744346619,0.09162303664921466,0.08785529715762273
gated_lower_blur,unmasked-unmasked,769,0.96714558220707,0.9102730819245773,0.5000671744346619,0.09162303664921466,0.08785529715762273
gated_upper_only,unmasked-unmasked,769,0.96714558220707,0.9102730819245773,0.5000671744346619,0.09162303664921466,0.08785529715762273
pair_head_all_cases,unmasked-unmasked,769,0.9618863049095606,0.8972691807542262,0.48679712414741516,0.1256544502617801,0.08010335917312661
pair_head_masked_cases_only,unmasked-unmasked,769,0.96714558220707,0.9102730819245773,0.5000671744346619,0.09162303664921466,0.08785529715762273
