epoch,loss,calibration_auc
1,0.411589808084748,0.9285301483336544
2,0.22196285155686465,0.9529809117787476
3,0.12179906429214911,0.9622193093397435
4,0.06129566867920486,0.9665516403809269
5,0.028247214345769447,0.9682267804645164
6,0.014723892239007082,0.969795130367777
7,0.00857315631583333,0.9696862462623438
8,0.00655341366390613,0.9688905547226387
9,0.005177300137637014,0.9678394043201862
10,0.0035952639194544067,0.9684361729749652
11,0.002525947607037696,0.9683922005477709
12,0.00210103616965088,0.9697187021014633
13,0.0017504202498292382,0.9702327607146148
14,0.001431934450837699,0.970113406983659
15,0.0012904903745617378,0.970285108842227
16,0.0010834815197581934,0.9703050011307196
17,0.0010097412662368945,0.9703175646813463
18,0.0008543650593227622,0.9704306366369888
19,0.0008476199979089539,0.9704997361654368
20,0.0007612153686667708,0.9707531011030798
21,0.0007160339128776369,0.9708567503957518
22,0.0006354812834284861,0.9707782282043336
23,0.0005957179051950912,0.9706515457355122
24,0.0005464314176193016,0.9706149020461837
25,0.0005082154490413483,0.9707342557771395
26,0.0004772130804750222,0.9707269270392738
27,0.0004493383325594054,0.97065049877296
28,0.00041617414337286556,0.9708242945566323
29,0.00041804404463618994,0.9707415845150051
30,0.0003824791585264558,0.9708064961932442
31,0.00036394273179625583,0.9708892062348713
32,0.00034724380979737776,0.9709384134748268
33,0.00032395164254756475,0.9710870821572454
34,0.00030748010613024235,0.9711111622959471
35,0.00029606263970808044,0.9712127176635146
36,0.0002788801092802632,0.971197013225231
37,0.00027319749907209456,0.9712347038771117
38,0.00025655923144024035,0.9710598611308872
39,0.0002499914798218842,0.9710975517827679
40,0.00023103299661835825,0.970982385902021
41,0.00022655009194171396,0.9709771510892597
42,0.00021161133918212727,0.9708379050698115
43,0.00020780881988519633,0.9709132863735729
44,0.00020341664375419813,0.9709656345011852
45,0.00019694355565165594,0.9710357809921856
46,0.00018486240349540657,0.9708368581072592
47,0.0001857182300723666,0.9709939024900958
48,0.0001703549926539629,0.9710839412695886
49,0.00016091820924140683,0.9711006926704245
50,0.00015555796562694013,0.9710671898687527
